sport,league,match,pick,odds,model_probability,bookmaker,reason,edge,implied_probability,confidence,risk,stake_units,stake_amount,created_at
football,2. Bundesliga,FC St. Pauli vs Greuther Fürth,Draw,4.0,0.2907082696248151,Tipico,"Raw edge 16.5% | Score 16.66656311752671 | Consensus: elo, xg, form, market",0.16501547641115555,0.04070826962481511,0.25,66,medium,0.25,13.57,2026-07-11T16:46:26
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.53,0.7003098107718068,Everygame,"Raw edge 16.6% | Score 97.0 | Consensus: elo, xg, form, market",0.1660538623235277,0.04671503952997669,0.6535947712418301,85,medium,0.34,30.0,2026-07-11T17:03:52
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.7,0.6348792387074882,1xBet,"Raw edge 17.9% | Score 97.0 | Consensus: elo, xg, form, market",0.17862751402658894,0.04664394458984111,0.5882352941176471,79,medium,0.28,28.32,2026-07-11T17:03:52
football,2. Bundesliga,SV Darmstadt 98 vs Holstein Kiel,Draw,3.65,0.3158266282009008,Winamax (DE),"Raw edge 15.6% | Score 15.551974712153127 | Consensus: elo, xg, form, market",0.15551974712153127,0.04185402546117478,0.273972602739726,67,medium,0.25,14.41,2026-07-11T17:03:52
football,2. Bundesliga,1. FC Nürnberg vs Dynamo Dresden,Draw,3.7,0.311430774804456,Tipico,"Raw edge 15.4% | Score 15.603871036585456 | Consensus: elo, xg, form, market",0.15449377263945996,0.04116050453418579,0.27027027027027023,66,medium,0.25,14.1,2026-07-11T17:03:52
baseball,baseball_mlb,Pittsburgh Pirates vs Milwaukee Brewers,Pittsburgh Pirates,1.28,0.8447724307391841,Pinnacle,"Raw edge 14.0% | Score 97.0 | Consensus: elo, xg, form, market",0.14047186392190336,0.06352243073918407,0.78125,100,medium,0.73,30.0,2026-07-11T18:54:35
basketball,basketball_wnba,Minnesota Lynx vs New York Liberty,Minnesota Lynx,1.38,0.7845860146064535,Pinnacle,"Raw edge 7.4% | Score 7.461874343830399 | Consensus: elo, xg, form, market",0.07427706892126618,0.0599483334470331,0.7246376811594204,97,medium,0.54,30.0,2026-07-11T18:54:35
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.55,0.6972459007808469,Betfair,"Raw edge 17.6% | Score 97.0 | Consensus: elo, xg, form, market",0.17573997727505564,0.05208461045826629,0.6451612903225806,87,medium,0.37,30.0,2026-07-11T18:54:35
baseball,baseball_mlb,Baltimore Orioles vs Kansas City Royals,Baltimore Orioles,1.68,0.6435536440672615,Pinnacle,"Raw edge 17.9% | Score 97.0 | Consensus: elo, xg, form, market",0.17931525822520422,0.04831554882916622,0.5952380952380952,81,medium,0.3,29.84,2026-07-11T18:54:35
football,Eliteserien,Sarpsborg FK vs Viking FK,Sarpsborg FK,4.3,0.2756060873449174,Coolbet,"Raw edge 17.9% | Score 16.195030784478483 | Consensus: elo, xg, form, market",0.17909363766121578,0.04304794781003371,0.23255813953488372,67,medium,0.25,14.02,2026-07-11T18:54:35
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.55,0.6967802741201732,Betfair,"Raw edge 17.4% | Score 97.0 | Consensus: elo, xg, form, market",0.17381523011074562,0.051618983797592555,0.6451612903225806,86,medium,0.36,30.0,2026-07-11T19:21:34
baseball,baseball_mlb,Baltimore Orioles vs Kansas City Royals,Baltimore Orioles,1.67,0.6441711321876691,Everygame,"Raw edge 17.4% | Score 97.0 | Consensus: elo, xg, form, market",0.17446281021023546,0.04536873697808819,0.5988023952095809,80,medium,0.28,28.27,2026-07-11T19:21:34
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.7,0.6347880679178485,1xBet,"Raw edge 17.9% | Score 97.0 | Consensus: elo, xg, form, market",0.1790436638751045,0.0465527738002014,0.5882352941176471,79,medium,0.28,28.26,2026-07-11T19:21:34
football,Scottish Premiership,Aberdeen vs Hearts,Aberdeen,4.2,0.280658754140619,Tipico,"Raw edge 17.4% | Score 16.461763241692807 | Consensus: elo, xg, form, market",0.1739983385315229,0.042563516045380945,0.23809523809523808,67,medium,0.25,13.97,2026-07-11T19:21:34
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.55,0.695949221491965,Betfair,"Raw edge 17.2% | Score 97.0 | Consensus: elo, xg, form, market",0.17226471666162158,0.050787931169384404,0.6451612903225806,86,medium,0.36,30.0,2026-07-11T19:33:29
baseball,baseball_mlb,Baltimore Orioles vs Kansas City Royals,Baltimore Orioles,1.67,0.6434811321876691,Everygame,"Raw edge 17.2% | Score 97.0 | Consensus: elo, xg, form, market",0.17215821021023547,0.04467873697808822,0.5988023952095809,79,medium,0.28,27.84,2026-07-11T19:33:29
football,Eliteserien,Sarpsborg FK vs Viking FK,Sarpsborg FK,4.3,0.275803260675536,Coolbet,"Raw edge 18.0% | Score 16.272570993855318 | Consensus: elo, xg, form, market",0.17995112032655403,0.04324512114065229,0.23255813953488372,67,medium,0.25,14.09,2026-07-11T19:33:29
football,Scottish Premiership,Aberdeen vs Hearts,Aberdeen,4.2,0.280658754140619,Tipico,"Raw edge 17.4% | Score 16.461763241692807 | Consensus: elo, xg, form, market",0.1739983385315229,0.042563516045380945,0.23809523809523808,67,medium,0.25,13.97,2026-07-11T19:33:29
baseball,baseball_mlb,Washington Nationals vs New York Yankees,New York Yankees,1.55,0.6960491236937053,Matchbook,"Raw edge 17.3% | Score 97.0 | Consensus: elo, xg, form, market",0.1727861426716666,0.05088783337112468,0.6451612903225806,86,medium,0.36,30.0,2026-07-11T19:49:29
baseball,baseball_mlb,San Francisco Giants vs Colorado Rockies,San Francisco Giants,1.7,0.6333099522975233,1xBet,"Raw edge 17.5% | Score 97.0 | Consensus: elo, xg, form, market",0.17467355946937602,0.045074658179876215,0.5882352941176471,79,medium,0.27,27.37,2026-07-11T19:49:29
football,Eliteserien,Sarpsborg FK vs Viking FK,Sarpsborg FK,4.3,0.2756287187388788,Coolbet,"Raw edge 17.9% | Score 16.203930786424735 | Consensus: elo, xg, form, market",0.1791920588216913,0.04307057920399507,0.23255813953488372,67,medium,0.25,14.03,2026-07-11T19:49:29
football,Scottish Premiership,Aberdeen vs Hearts,Aberdeen,4.2,0.280658754140619,Tipico,"Raw edge 17.4% | Score 16.461763241692807 | Consensus: elo, xg, form, market",0.1739983385315229,0.042563516045380945,0.23809523809523808,67,medium,0.25,13.97,2026-07-11T19:49:29
baseball,baseball_mlb,Chicago White Sox vs Athletics,Chicago White Sox,1.29,0.8402382865793748,Winamax (FR),"Raw edge 17.5% | Score 98.0 | Consensus: elo, xg, form, market",0.17519895748420677,0.06504448812976249,0.7751937984496123,100,medium,0.72,30.0,2026-07-11T20:02:27
